snapshot,version,releaseDate
Beta 1.8pre1,Beta 1.8,"September 9, 2011"
Beta 1.8pre2,Beta 1.8,"September 13, 2011"
Beta 1.9pre1,Beta 1.9,"September 22, 2011"
Beta 1.9pre2,Beta 1.9,"September 29, 2011"
Beta 1.9pre3,Beta 1.9,"October 6, 2011"
Beta 1.9pre4,Beta 1.9,"October 13, 2011"
Beta 1.9pre5,Beta 1.9,"October 27, 2011"
Beta 1.9pre6,Beta 1.9,"November 11, 2011"
1.0.0RC1,1.0.0,"November 13, 2011"
1.0.0RC2,1.0.0,"November 13, 2011"
11w47a,1.1.0,"November 24, 2011"
11w48a,1.1.0,"December 1, 2011"
11w49a,1.1.0,"December 8, 2011"
11w50a,1.1.0,"December 15, 2011"
12w01a,1.1.0,"January 5, 2012"
12w03a,1.2.0,"January 19, 2012"
12w04a,1.2.0,"January 26, 2012"
12w05a,1.2.0,"February 2, 2012"
12w05b,1.2.0,"February 3, 2012"
12w06a,1.2.0,"February 9, 2012"
12w07a,1.2.0,"February 15, 2012"
12w07b,1.2.0,"February 15, 2012"
12w08a,1.2.0,"February 23, 2012"
1.2.0pre,1.2.0,"February 29, 2012"
1.2.5pre,1.2.0,"March 30, 2012"
